121: f98a4847b147	Kompatibilität
139: fb428f695de9	PHM ruft ⟦0⟧ periodisch auf, solange weder ein kritischer ⟦1⟧-Status noch ein fehlgeschlagener Recovery-Pfad vorliegt ⟦2⟧.
140: fb558a24f452	⟦0⟧ wird bei der Skeleton-Erzeugung für alle Methoden dieser Instanz festgelegt. ⟦1⟧ lässt die Implementierung die nächste Invocation ausdrücklich abholen; ⟦2⟧ verarbeitet Aufrufe concurrent, ⟦3⟧ serialisiert sie serverseitig. ⟦4⟧ legt die drei Modelle fest.
141: fb5b62da6141	Registriert eine Notifier-Funktion, die aufgerufen wird, sobald die gemeinsam genutzte Ressource freigegeben werden kann. Ein erneuter Aufruf überschreibt den zuvor registrierten Notifier; die übergebene Funktion darf laut Vertrag keine Exceptions werfen und muss ein aufrufbares Objekt enthalten. ⟦0⟧
142: fb624af350ca	Wird für ⟦0⟧ mit ⟦1⟧ aufgerufen; liefert asynchron eine Schreibsitzung sowie die Byteposition, ab der das Fortsetzen des Schreibvorgangs beginnt, oder einen negativen UDS-NRC-Wert. ⟦2⟧
143: fb741c46d120	Das Ergebnis wird als ⟦0⟧ geliefert. Mögliche Fehler sind ⟦1⟧ (kein zugeordneter DTC für das Event) und ⟦2⟧ (wesentliche DM-Funktionalität aktuell nicht verfügbar), jeweils mit rollback_semantics. Der Aufruf ist thread-sicher und exceptionsicher.
144: fb747b5a645c	Kopier- und Move-Konstruktion sowie beide Zuweisungen sind gelöscht; der Destruktor ist virtuell und ⟦0⟧. Offer und StopOffer sind threadsicher, während die Threadsicherheit von ⟦1⟧ implementierungsdefiniert ist. ⟦2⟧ ⟦3⟧ ⟦4⟧ ⟦5⟧ ⟦6⟧ ⟦7⟧ ⟦8⟧ ⟦9⟧
145: fb834f37590a	Template-Namen korrekt lesen
146: fb91434c79fe	Das Verhalten dieses Elements ist in der Spezifikation nicht eigenständig ausformuliert, sondern über den Verweis auf den ISO-C++-Standardabschnitt ⟦0⟧ definiert; maßgebliches Gegenstück ist die gleichnamige freie Funktion ⟦1⟧ für ⟦2⟧ (⟦3⟧). Abweichungen gegenüber der std-Semantik laut Spezifikation: Signaturanpassung an ara-Typen („Description references to std::pmr::new_delete_resource() are replaced by ara:: core::NewDeleteResource()“); Signaturanpassung an ara-Typen („Description references to std::pmr::set_default_resource() are replaced by ara:: core::SetDefaultResource()“); Signaturanpassung an ara-Typen („Return type std::pmr::memory_resource is replaced with ara::core :: MemoryResource“).
147: fb9270025f5a	Rufen Sie ⟦0⟧ dort auf, wo Häufigkeit, Zeit oder Reihenfolge beurteilt werden soll. PHM akzeptiert für die Auswertung nur die dem Prozess zugeordneten Checkpoints ⟦1⟧ ⟦2⟧.
148: fbb8791c74bf	Es gilt der gemeinsame Anwendungskontext des State Management (manifest- und integrationsabhängige Zustandskoordination, Bewertung von Rückgabewerten und Fehlern in der aufrufenden Rolle); er ist im Guide des Namespace ⟦0⟧ beschrieben.
149: fbbf663a970c	⟦0⟧ von ⟦1⟧ ⟦2⟧ prüft, ob ⟦3⟧ einen Wert enthält, und gibt ⟦4⟧ oder ⟦5⟧ zurück; die Funktion dient als Vorabkontrolle vor wertbezogenen Zugriffen.
150: fbe3b048ea81	Für jedes Modell-Event gibt es ein Member ⟦0⟧; die Implementierung versendet Werte über ⟦1⟧ ⟦2⟧ ⟦3⟧.
151: fbe849570483	Die ⟦0⟧ Methode ⟦1⟧ fragt den aktuellen ⟦2⟧ der über den Proxy angesprochenen Service-Instanz ab ⟦3⟧. Sie wird verwendet, um vor oder während der Nutzung des Proxys die Erreichbarkeit des Dienstes zu prüfen. Die Methode ist exception-sicher.
152: fbf194aabf17	⟦0⟧ verwaltet die Interaktion zwischen Diagnostic-Server-Instanzen und UDS-Transportprotokollen, etwa DoIP oder CAN. Er stellt dem Transport-Handler die standardisierte Schnittstelle für Nachrichtenannahme, Übergabe an die Session-Schicht, Sende-Bestätigungen und Kanalwiederherstellung bereit. ⟦1⟧
153: fc100aacc97e	Sequenzdiagramm: Aus Checkpoint-Meldungen werden Elementar- und Globalstatus; bei einer abgelaufenen Global Supervision kann der Recovery- oder Watchdog-Pfad folgen ⟦0⟧ ⟦1⟧.
154: fc38ca67e434	⟦0⟧ setzt den mit einem ⟦1⟧-Objekt assoziierten Inhalt auf den übergebenen ⟦2⟧ ⟦3⟧. Der Aufruf liefert ⟦4⟧ und meldet einen Fehler, wenn der übergebene Inhalt vom Typ ⟦5⟧ ist.
155: fc51131e235b	Der Accessor ist nicht threadsicher. Führen Sie Schreiben und Synchronisieren in demselben kontrollierten Besitzkontext aus.
156: fc51638e3db8	Zugriffsobjekt für einen durch InstanceSpecifier referenzierten Netzwerk-Handle; vorgesehen für State Management.
157: fc66ba38e50f	Die in den API-Verträgen benannten Zustände ⟦0⟧ und ⟦1⟧ erscheinen in R25-11 als Violation-Beschreibungen. Für den Zugriff auf ein ungültiges ⟦2⟧ ist ebenfalls eine Violation festgelegt; nur ⟦3⟧ spezifiziert hierfür die ⟦4⟧ mit ⟦5⟧. ⟦6⟧ ⟦7⟧ ⟦8⟧ ⟦9⟧
158: fc739c35ed80	⟦0⟧ von ⟦1⟧ ⟦2⟧ liefert als ⟦3⟧ zurück, ob das Array leer ist; laut Vertrag muss das zugrunde liegende ⟦4⟧ vom Typ ArrayContentElementData sein.
159: fc745ad7f932	Ist der aus den Bits gebildete Wert nicht als ⟦0⟧ darstellbar, wird ⟦1⟧ gemeldet.
160: fc80ac340219	Semantik von Log
